■ 일별 박스오피스,,,,,,,,,,,,,,,,,,,,,
- 조회일: 2023-08-21,,,,,,,,,,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,,,,,,,,,,
▶ 검색조건 [ 조회기간: 2023-08-20~2023-08-20   영화구분: 전체   국적: 한국   지역: 전체 ],,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
●2023년 08월 20일(Sun),,,,,,,,,,,,,,,,,,,,,
순위,영화명,개봉일,매출액,"매출액
점유율","매출액증감
(전일대비)",매출액증감율(전일대비),누적매출액,관객수,관객수증감(전일대비),관객수증감율(전일대비),누적관객수,스크린수,상영횟수,대표국적,국적,제작사,배급사,등급,장르,감독,배우
1,콘크리트 유토피아,2023-08-09,1794865172,0.504,-298232220,-0.142,27358281579,177895,-29642,-0.143,2791800,1168,4215,한국,한국,"클라이맥스 스튜디오(주),(주)비에이치 엔터테인먼트",롯데컬처웍스(주)롯데엔터테인먼트,15세이상관람가,드라마,엄태화,"이병헌,박서준,박보영,김선영,박지후,김도윤,이서환,강애심,이효제,김주승,김병순,이선희,권은성,강일,곽자형,최영도,김용준,김동곤,남진복,변진수,곽민규,김홍국,김정남,김희상,손민석,전영,정은경,배기범,주인영,이지해,이은주,박주용,무현,한승우,김현창,정태영,백승진,홍성오,정재민,김지산,라호찬,김예은,김상동,김봉희,김자미,오은지,이자령,오민정,김태준,유휴인,민영,라희선,김문학,이승원,공재민,추연규,허선행,김경덕,이석형,나철,최솔희,현승진,서우진,천윤경,김동현,박지홍,정지우,홍승균,이중현,박경찬,김가영,이일진,이서아,박종환,장선,김권후,김선경,하은서,변중희,신다영,김지성,윤재국,김영건,강종현,홍성일,김연지,권라희,유이찬,양소희,이재준,정혜윤,진유찬,김태이,양희원,김효경,강준석,이상연,김테이,김학선,공민정,엄태구,정영기,오희준,김준배,오수진"
2,달짝지근해: 7510,2023-08-15,971332504,0.273,-67578738,-0.065,4499923311,95966,-7593,-0.073,457594,884,2481,한국,한국,(주)무비락,(주)마인드마크,12세이상관람가,코미디,이한,"유해진,김희선,차인표,진선규,한선화,정다은"
3,밀수,2023-07-26,537141907,0.151,-57561263,-0.097,46151120076,53117,-5648,-0.096,4777165,769,1617,한국,한국,(주)외유내강,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,범죄,류승완,"김혜수,염정아,조인성,박정민,김종수,고민시"
4,보호자,2023-08-15,142279730,0.04,8888511,0.067,1014831117,13627,427,0.032,102297,575,834,한국,한국,(주)영화사테이크,(주)에이스메이커무비웍스,15세이상관람가,"액션,드라마",정우성,"정우성,김남길,박성웅,김준한,박유나,이엘리야,권은성"
5,런닝맨: 리벤져스,2023-08-10,31851000,0.009,5529700,0.21,398819600,3550,680,0.237,47106,167,191,한국,한국,(주)로커스,(주)넥스트엔터테인먼트월드(NEW),전체관람가,애니메이션,엄영식,
6,비공식작전,2023-08-02,35311600,0.01,-12200829,-0.257,10033848641,3479,-1212,-0.258,1041878,195,221,한국,한국,"(주)와인드업필름,와이낫필름",(주)쇼박스,12세이상관람가,드라마,김성훈,"하정우,주지훈,권은성"
7,더 문,2023-08-02,15816089,0.004,-2359117,-0.13,5111839529,1495,-127,-0.078,506559,74,80,한국,한국,(주)블라드스튜디오,(주)씨제이이엔엠,12세이상관람가,"SF,액션,드라마",김용화,"설경구,도경수,김희애,박병은,조한철,최병모,홍승희"
8,아버지의 마음,2023-07-20,8799700,0.002,8010200,10.146,276919006,786,711,9.48,27920,10,10,한국,한국,파이오니아21,"(주)드림팩트엔터테인먼트,파이오니아21",전체관람가,다큐멘터리,김상철,신애라
9,지옥만세,2023-08-16,6685800,0.002,-5172900,-0.436,64484127,739,-737,-0.499,7931,54,83,한국,한국,한국영화아카데미,찬란,12세이상관람가,어드벤처,임오정,"오우리,방효린,정이주,박성훈,이선희,이주원,이은솔,이린하,이나연,이예빛,이지유,박준우,김선경,최묘견,김경환,서미영,박창순,임세운,공도은,이현성,한기옥,박동욱,이지명,전승재,한상현,김영선,허정도,이주영,양흥주"
10,핑크퐁 시네마 콘서트3 : 진저브레드맨을 잡아라,2023-07-26,4394300,0.001,-791800,-0.153,504110700,426,-117,-0.215,58238,24,27,한국,한국,더핑크퐁컴퍼니(주),더핑크퐁컴퍼니(주),전체관람가,애니메이션,변희선,"조경이,이소은,박요한,김새해,장예나"
11,수라,2023-06-21,2122000,0.001,1275000,1.505,348976724,237,149,1.693,40239,11,11,한국,한국,"스튜디오두마,미디어나무(주)","스튜디오두마,미디어나무(주),스튜디오 에이드",전체관람가,다큐멘터리,황윤,황윤
12,비밀의 언덕,2023-07-12,2860000,0.001,2322000,4.316,115619993,231,162,2.348,14606,8,8,한국,한국,오스프링 필름,(주)엣나인필름,전체관람가,기타,이지은,"문승아,임선우,장선,강길우,장재희,이동찬"
13,극장판 슈퍼윙스: 맥시멈 스피드,2023-07-20,1083300,0,15444,0.014,1172743150,135,-3,-0.022,132953,6,8,한국,한국,(주)퍼니플럭스,(주)넥스트엔터테인먼트월드(NEW),전체관람가,애니메이션,정길훈,"문남숙,장은숙,최보배,전태열,이재범,엄상현"
14,너의 순간,2023-08-16,1119300,0,166500,0.175,7212900,114,10,0.096,798,23,24,한국,한국,후앤유아츠(주),영화로운 형제,12세이상관람가,멜로/로맨스,이상준,"우지현,옥자연,이상일,차희"
15,듣보인간의 생존신고,,896000,0,896000,1,4906000,112,112,1,693,1,1,한국,한국,,,전체관람가,다큐멘터리,,
16,퀴어 마이 프렌즈,2023-08-09,693800,0,-153200,-0.181,32941617,77,13,0.203,3761,16,18,한국,한국,시소픽쳐스,(주)영화사 그램,12세이상관람가,"다큐멘터리,드라마,가족",서아현,서아현
17,2023 세계일화국제불교영화제 동국 OTT쇼케이스,,5900,0,5900,1,5900,59,59,1,59,1,1,한국,한국,,,,드라마,,
18,다섯 번째 흉추,2023-08-02,481500,0,279501,1.384,37283005,57,32,1.28,4296,15,15,한국,한국,,㈜인디스토리,15세이상관람가,"드라마,스릴러",박세영,"정수민,함석영,온정연"
19,자유부인,1956-06-09,100000,0,0,0.00E+00,5672000,50,0,0.00E+00,2818,1,3,한국,한국,,,청소년관람불가,드라마,한형모,"박암,김정림"
20,불佛효자,,2700,0,2700,1,2700,27,27,1,27,1,1,한국,한국,,,,다큐멘터리,,
21,범죄도시3,2023-05-31,175000,0,39922,0.296,104685145878,21,2,0.105,10682491,5,5,한국,한국,"주식회사 빅펀치픽쳐스,(주)홍필름,(주)비에이엔터테인먼트","주식회사 에이비오엔터테인먼트,플러스엠 엔터테인먼트",15세이상관람가,"범죄,액션",이상용,"마동석,황순명,이준혁,아오키 무네타카,이범수,김민재,이지훈,김도건,고규필,전석호,안세호,한규원,최우준,최동구,이세호,이태규,배누리,최광제,심영은,김기호,고건한,신현용,쿠니무라 준,박지환,윤상돈,김지수"
22,촌색씨,,30000,0,30000,1,6036000,15,15,1,3018,1,3,한국,한국,,,,"멜로/로맨스,드라마",박영환,"이경태,최은희,이대엽,도금봉"
23,킬링 로맨스,2023-04-14,154000,0,88000,1.333,1833151642,14,8,1.333,191623,2,2,한국,한국,"(주)영화사 이창,쇼트케이크(주)",롯데컬처웍스(주)롯데엔터테인먼트,15세이상관람가,코미디,이원석,"이하늬,이선균,공명,배유람,심달기,최준규,신민재,주광현,강학수,서정식,김영현,황대기,윤세웅,최종윤,정윤하,이서이,김준,김원진,한상철,이은주,김상욱,김상욱,오윤수,조현진,심우성,홍기주,원진호,최민국,최민국,신용식,안정호,한지호,조청원,김재호,박상원,이순성,권정우,손수호,이유진,이주성,송지훈,송태완,조애리,이도영,정동현,손주영,유요한,손선아,곽정길,정지민,김윤숙,김춘기,곽장륜,진범일,조승원,차유주,박은철,정경천,임현정,모일영,진성현,한성관,임유진,심달기,최덕문,오정세"
24,소셜포비아,2015-03-12,99000,0,99000,1,1980165563,9,9,1,251683,1,1,한국,한국,한국영화아카데미,CGV아트하우스,15세이상관람가,"스릴러,드라마",홍석재,"변요한,이주승,하윤경,이강욱,류준열,배유람,엄기성,하상명,전신환,김종수,남문철,오희준,박근록,박예영,임지호"
24,연악: 나의 운명,2023-08-10,67500,0,39500,1.411,3216800,9,6,2,346,3,3,한국,한국,주식회사 도화원엔터테인먼트,시네마 뉴원,전체관람가,"사극,드라마",박한열,"강신혜,정욱,손건우,이영욱,송민경,박근수,서문경,윤배영"
26,작은정원,2023-07-12,27000,0,-105000,-0.795,14356800,4,-13,-0.765,1972,3,3,한국,한국,아나레스,(주)시네마달,전체관람가,다큐멘터리,이마리오,
26,안나푸르나,2023-06-08,8000,0,8000,1,8431856,4,4,1,1089,1,2,한국,한국,주식회사인시즌,시네마 뉴원,전체관람가,"드라마,멜로/로맨스,코미디",황승재,"차선우,김강현"
26,비닐하우스,2023-07-26,34000,0,-463000,-0.932,90647476,4,-66,-0.943,10781,3,3,한국,한국,한국영화아카데미,(주)트리플픽쳐스,15세이상관람가,범죄,이솔희,김서형
29,그 노래,2023-08-16,22500,0,-44500,-0.664,2257000,2,-8,-0.8,215,2,2,한국,한국,"에스지엔터테인먼트(주),주식회사 씨엠닉스",주식회사 씨엠닉스,12세이상관람가,"드라마,뮤지컬",오성수,한기찬
30,라방,2023-06-28,7000,0,-13500,-0.659,122966128,1,-2,-0.667,13645,1,1,한국,한국,영화사올(주),(주)트리플픽쳐스,청소년관람불가,스릴러,최주연,"박성웅,박선호,김희정"
30,탄생,2022-11-30,12000,0,-190000,-0.941,3156405416,1,-32,-0.97,351510,1,1,한국,한국,"민영화사,가톨릭문화원 ALMA ART","씨제이 씨지브이(CJ CGV)(주),(주)레드아이스 엔터테인먼트",12세이상관람가,드라마,박흥식,"윤시윤,안성기,윤경호,이문식,이호원,이경영,신정근,송지연,하경,김광규,임현수,김승훈,박지훈,성혁,백지원,최무성,차청화,남다름,이준혁,강말금,김강우,정유미,강덕중,송길호,정준환,송훈,한창현,이문빈,고봉구,김동현,이승훈,조재룡,최윤우,한바다,김용태,이경훈,최로운,최민주,김형도,김나운,나기수,강두,박주연,장민영,김여준,공현지,이용이,김대종,이호영,이용헌,오현진,김성수,김재훈,신성용,고해성,전운종,김기현,김주헌,장용원,황수진,양정인,윤지애"
합계,,,3558478302,,,,209042322234,352263,,,21527111,4026,9875,,,,,,,,